state1,state2,Scientific Name,FIPS,County,questionable,rarity
AL,Alabama,Quercus hemisphaerica,1001,Autauga,,common
AL,Alabama,Quercus margarettae,1001,Autauga,,common
AL,Alabama,Quercus michauxii,1001,Autauga,,common
AL,Alabama,Quercus phellos,1001,Autauga,,common
AL,Alabama,Quercus shumardii,1001,Autauga,,common
AL,Alabama,Quercus stellata,1001,Autauga,,common
AL,Alabama,Quercus velutina,1001,Autauga,,common
AL,Alabama,Quercus chapmanii,1003,Baldwin,,common
AL,Alabama,Quercus geminata,1003,Baldwin,,common
AL,Alabama,Quercus hemisphaerica,1003,Baldwin,,common
AL,Alabama,Quercus margarettae,1003,Baldwin,,common
AL,Alabama,Quercus phellos,1003,Baldwin,,common
AL,Alabama,Quercus stellata,1003,Baldwin,,common
AL,Alabama,Quercus velutina,1003,Baldwin,,common
AL,Alabama,Quercus virginiana,1003,Baldwin,,common
AL,Alabama,Quercus hemisphaerica,1005,Barbour,,common
AL,Alabama,Quercus margarettae,1005,Barbour,,common
AL,Alabama,Quercus michauxii,1005,Barbour,,common
AL,Alabama,Quercus phellos,1005,Barbour,,common
AL,Alabama,Quercus shumardii,1005,Barbour,,common
AL,Alabama,Quercus stellata,1005,Barbour,,common
AL,Alabama,Quercus velutina,1005,Barbour,,common
AL,Alabama,Quercus virginiana,1005,Barbour,,common
AL,Alabama,Quercus hemisphaerica,1007,Bibb,,common
AL,Alabama,Quercus margarettae,1007,Bibb,,common
AL,Alabama,Quercus michauxii,1007,Bibb,,common
AL,Alabama,Quercus phellos,1007,Bibb,,common
AL,Alabama,Quercus shumardii,1007,Bibb,,common
AL,Alabama,Quercus stellata,1007,Bibb,,common
AL,Alabama,Quercus velutina,1007,Bibb,,common
AL,Alabama,Quercus hemisphaerica,1009,Blount,,common
AL,Alabama,Quercus michauxii,1009,Blount,,common
AL,Alabama,Quercus phellos,1009,Blount,,common
AL,Alabama,Quercus shumardii,1009,Blount,,common
AL,Alabama,Quercus stellata,1009,Blount,,common
AL,Alabama,Quercus velutina,1009,Blount,,common
AL,Alabama,Quercus hemisphaerica,1011,Bullock,,common
AL,Alabama,Quercus margarettae,1011,Bullock,,common
AL,Alabama,Quercus michauxii,1011,Bullock,,common
AL,Alabama,Quercus phellos,1011,Bullock,,common
AL,Alabama,Quercus stellata,1011,Bullock,,common
AL,Alabama,Quercus velutina,1011,Bullock,,common
AL,Alabama,Quercus virginiana,1011,Bullock,,common
AL,Alabama,Quercus hemisphaerica,1013,Butler,,common
AL,Alabama,Quercus margarettae,1013,Butler,,common
AL,Alabama,Quercus michauxii,1013,Butler,,common
AL,Alabama,Quercus phellos,1013,Butler,,common
AL,Alabama,Quercus shumardii,1013,Butler,,common
AL,Alabama,Quercus stellata,1013,Butler,,common
AL,Alabama,Quercus velutina,1013,Butler,,common
AL,Alabama,Quercus virginiana,1013,Butler,,common
AL,Alabama,Quercus hemisphaerica,1015,Calhoun,,common
AL,Alabama,Quercus margarettae,1015,Calhoun,,common
AL,Alabama,Quercus michauxii,1015,Calhoun,,common
AL,Alabama,Quercus phellos,1015,Calhoun,,common
AL,Alabama,Quercus shumardii,1015,Calhoun,,common
AL,Alabama,Quercus stellata,1015,Calhoun,,common
AL,Alabama,Quercus velutina,1015,Calhoun,,common
AL,Alabama,Quercus virginiana,1015,Calhoun,,common
AL,Alabama,Quercus phellos,1017,Chambers,,common
AL,Alabama,Quercus stellata,1017,Chambers,,common
AL,Alabama,Quercus velutina,1017,Chambers,,common
AL,Alabama,Quercus margarettae,1019,Cherokee,,common
AL,Alabama,Quercus michauxii,1019,Cherokee,,common
AL,Alabama,Quercus phellos,1019,Cherokee,,common
AL,Alabama,Quercus shumardii,1019,Cherokee,,common
AL,Alabama,Quercus stellata,1019,Cherokee,,common
AL,Alabama,Quercus velutina,1019,Cherokee,,common
AL,Alabama,Quercus hemisphaerica,1021,Chilton,,common
AL,Alabama,Quercus margarettae,1021,Chilton,,common
AL,Alabama,Quercus michauxii,1021,Chilton,,common
AL,Alabama,Quercus phellos,1021,Chilton,,common
AL,Alabama,Quercus shumardii,1021,Chilton,,common
AL,Alabama,Quercus stellata,1021,Chilton,,common
AL,Alabama,Quercus velutina,1021,Chilton,,common
AL,Alabama,Quercus hemisphaerica,1023,Choctaw,,common
AL,Alabama,Quercus margarettae,1023,Choctaw,,common
AL,Alabama,Quercus michauxii,1023,Choctaw,,common
AL,Alabama,Quercus phellos,1023,Choctaw,,common
AL,Alabama,Quercus shumardii,1023,Choctaw,,common
AL,Alabama,Quercus stellata,1023,Choctaw,,common
AL,Alabama,Quercus velutina,1023,Choctaw,,common
AL,Alabama,Quercus hemisphaerica,1025,Clarke,,common
AL,Alabama,Quercus margarettae,1025,Clarke,,common
AL,Alabama,Quercus michauxii,1025,Clarke,,common
AL,Alabama,Quercus shumardii,1025,Clarke,,common
AL,Alabama,Quercus stellata,1025,Clarke,,common
AL,Alabama,Quercus velutina,1025,Clarke,,common
AL,Alabama,Quercus phellos,1027,Clay,,common
AL,Alabama,Quercus shumardii,1027,Clay,,common
AL,Alabama,Quercus stellata,1027,Clay,,common
AL,Alabama,Quercus velutina,1027,Clay,,common
AL,Alabama,Quercus hemisphaerica,1029,Cleburne,,common
AL,Alabama,Quercus margarettae,1029,Cleburne,,common
AL,Alabama,Quercus michauxii,1029,Cleburne,,common
AL,Alabama,Quercus phellos,1029,Cleburne,,common
AL,Alabama,Quercus shumardii,1029,Cleburne,,common
AL,Alabama,Quercus stellata,1029,Cleburne,,common
AL,Alabama,Quercus velutina,1029,Cleburne,,common
AL,Alabama,Quercus hemisphaerica,1031,Coffee,,common
AL,Alabama,Quercus margarettae,1031,Coffee,,common
AL,Alabama,Quercus michauxii,1031,Coffee,,common
AL,Alabama,Quercus phellos,1031,Coffee,,common
AL,Alabama,Quercus shumardii,1031,Coffee,,common
AL,Alabama,Quercus stellata,1031,Coffee,,common
AL,Alabama,Quercus virginiana,1031,Coffee,,common
AL,Alabama,Quercus margarettae,1033,Colbert,,common
AL,Alabama,Quercus michauxii,1033,Colbert,,common
AL,Alabama,Quercus phellos,1033,Colbert,,common
AL,Alabama,Quercus shumardii,1033,Colbert,,common
AL,Alabama,Quercus stellata,1033,Colbert,,common
AL,Alabama,Quercus velutina,1033,Colbert,,common
AL,Alabama,Quercus hemisphaerica,1035,Conecuh,,common
AL,Alabama,Quercus margarettae,1035,Conecuh,,common
AL,Alabama,Quercus michauxii,1035,Conecuh,,common
AL,Alabama,Quercus phellos,1035,Conecuh,,common
AL,Alabama,Quercus stellata,1035,Conecuh,,common
AL,Alabama,Quercus virginiana,1035,Conecuh,,common
AL,Alabama,Quercus hemisphaerica,1037,Coosa,,common
AL,Alabama,Quercus phellos,1037,Coosa,,common
